"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"TripAdvisor Commerce Campaign","","15187288","Book your next unforgettable experience on Tripadvisor, with flexible bookings and free cancellations.","Book your next unforgettable experience on Tripadvisor, with flexible bookings and free cancellations.","","Text Link","$7.23 USD","$2.45 USD","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15459557","Tours and activities: Reserve now and pay later","Tours and activities: Reserve now and pay later","Tours and activities: Reserve now and pay later","Text Link","$5.15 USD","$0.17 USD","7-Oct-2025","","","","Sale/Discount","","3-Apr-2023","3-Apr-2026","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15534191","UK Lander|Things to Do in Europe","Find the best things to do in Europe! Reserve now pay later.","","Text Link","$5.65 USD","$1.14 USD","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","Yes"
"TripAdvisor Commerce Campaign","","15459656","Top hotel deals for a new year trip","Top hotel deals for a new year trip","Top hotel deals for a new year trip","Text Link","$4.53 USD","$2.69 USD","7-Oct-2025","","","","Sale/Discount","","3-Apr-2023","3-Apr-2026","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15459560","Stay local and discover amazing things to do in your city","Stay local and discover amazing things to do in your city","Stay local and discover amazing things to do in your city","Text Link","N/A","N/A","7-Oct-2025","","","","Sale/Discount","","3-Apr-2023","3-Apr-2026","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15459555","Book your next unforgettable experience on Tripadvisor, with flexible bookings and free cancellations.","Book your next unforgettable experience on Tripadvisor, with flexible bookings and free cancellations.","Book your next unforgettable experience on Tripadvisor, with flexible bookings and free cancellations.","Text Link","$136.22 USD","N/A","7-Oct-2025","","","","Sale/Discount","","3-Apr-2023","3-Apr-2026","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15733841","Evergreen Link for TripAdvisor Commerce Campaign","Evergreen Links are a long-lasting link type that takes consumers to the advertiser's website. It is deep-link enabled, so publishers can customize it to navigate to a different page if needed.","","Evergreen Link","$33.95 USD","$1.76 USD","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15294770","Stay local and discover amazing things to do in your city","Stay local and discover amazing things to do in your city



","Tripadvisor, hotels, getaway, travel, destination, dream, save, drive, holiday, deals","Text Link","$5.20 USD","N/A","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15459558","Over 300,000 tours and activities worldwide: Book on Tripadvisor with trusted reviews","Over 300,000 tours and activities worldwide: Book on Tripadvisor with trusted reviews","Over 300,000 tours and activities worldwide: Book on Tripadvisor with trusted reviews","Text Link","$0.00 USD","N/A","7-Oct-2025","","","","Sale/Discount","","3-Apr-2023","3-Apr-2026","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","US","15459559","Save on tours and activities for the whole family","Save on tours and activities for the whole family","Save on tours and activities for the whole family","Text Link","$25.13 USD","$0.95 USD","7-Oct-2025","","","","Sale/Discount","","3-Apr-2023","3-Apr-2026","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","15598499","Book your next unforgettable experience on Tripadvisor, with flexible bookings and free cancellations.","Book your next unforgettable experience on Tripadvisor, with flexible bookings and free cancellations.","","Text Link","N/A","N/A","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","US","15294769","Tours and activities: Reserve now and pay later for most experiences","Tours and activities: Reserve now and pay later for most experiences
","Tripadvisor, hotels, getaway, travel, destination, dream, save, drive, holiday, deals","Text Link","$24.74 USD","$0.03 USD","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","Yes"
"TripAdvisor Commerce Campaign","","10775740","Hotel Deep Link Generator","The Smart Link/Text link generator allows you to generate deep links to specifc geo destinations and hotel pages on TripAdvisor.","Text Link Generator, Deep Link, hotels","SmartLink","$6.39 USD","$6.46 USD","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","No"
"TripAdvisor Commerce Campaign","","17119659","Tripadvisor logo","<link> Tripadvisor logo </link>","","Banner","$0.00 USD","$0.04 USD","7-Oct-2025","","","","N/A","","","","Hotel","2942540","No Relationship","English","No"
