"ADVERTISER","TARGETED COUNTRIES","LINK ID","NAME","DESCRIPTION","KEYWORDS","LINK TYPE","THREE MONTH EPC","SEVEN DAY EPC","LAST UDPATED","HTML LINKS","JAVASCRIPT LINKS","CLICK URL","PROMOTION TYPE","COUPON CODE","PROMOTIONAL DATE","PROMOTIONAL END DATE","CATEGORY","ADV_CID","RELATIONSHIP STATUS","LANGUAGE","MOBILE OPTIMIZED"
"Amazfit US","US","15818020","Amazfit Helio Ring + T-Rex Ultra Bundles Offer","Bundle your Amazfit Helio Ring with a select Amazfit smartwatch and get :
$150 off your order","amazfit, fitness tracker, smartwatches, ring,","Text Link","$0.00 USD","$0.00 USD","3-Jan-2025","<a href=""https://www.jdoqocy.com/click-101606300-15818020"" target=""_top"">Bundle now</a> to save $150 your order to get an Amazfit Helio Ring and an T-Rex Ultra<img src=""https://www.tqlkg.com/image-101606300-15818020"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57389852?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101606300-15818020","N/A","","","","Consumer Electronics","5757681","Active","English","Yes"
"Amazfit US","","15260968","Amazfit US - Homepage","Amazfit US - Homepage ","","Text Link","$6.33 USD","$13.06 USD","3-Jan-2025","<a href=""https://www.tkqlhce.com/click-101606300-15260968"" target=""_top"">Amazfit US</a><img src=""https://www.ftjcfx.com/image-101606300-15260968"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.kqzyfj.com/placeholder-57389853?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101606300-15260968","N/A","","","","Consumer Electronics","5757681","Active","English","No"
"Amazfit US","","17187349","Early BFCM Deal: U.S. Orders $30+ Ship FREE!","Early BFCM Deal: U.S. Orders $30+ Ship FREE!","","Text Link","N/A","N/A","3-Nov-2025","<a href=""https://www.kqzyfj.com/click-101606300-17187349"" target=""_top"">Early BFCM Deal: U.S. Orders $30+ Ship FREE!</a><img src=""https://www.lduhtrp.net/image-101606300-17187349"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57389854?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101606300-17187349","N/A","","","31-Dec-2025","Consumer Electronics","5757681","Active","English","No"
"Amazfit US","","17061618","New Product Alert! The new Bip 6","New Product Alert! The new Bip 6","","Text Link","$0.00 USD","$0.00 USD","2-Apr-2025","<a href=""https://www.kqzyfj.com/click-101606300-17061618"" target=""_top"">New Product Alert! The New Bip 6</a><img src=""https://www.awltovhc.com/image-101606300-17061618"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57389855?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101606300-17061618","N/A","","","","Consumer Electronics","5757681","Active","English","No"
"Amazfit US","","15735909","Evergreen Link for Amazfit US","Evergreen Links are a long-lasting link type that takes consumers to the advertiser's website. It is deep-link enabled, so publishers can customize it to navigate to a different page if needed.","","Evergreen Link","$16.75 USD","$264.97 USD","3-Jan-2025","<a href=""https://www.anrdoezrs.net/click-101606300-15735909"" target=""_top""></a><img src=""https://www.tqlkg.com/image-101606300-15735909"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.jdoqocy.com/placeholder-57389856?target=_top&mouseover=N""></script>","https://www.anrdoezrs.net/click-101606300-15735909","N/A","","","","Consumer Electronics","5757681","Active","English","No"
"Hotels.com APAC","","15888887","ButtonAutomateTesting - DON'T USE","TH_Hotels.com Homepage","","Text Link","N/A","N/A","23-Aug-2024","<a href=""https://www.tkqlhce.com/click-101606300-15888887"" target=""_top"">TH_Hotels.com Homepage</a><img src=""https://www.tqlkg.com/image-101606300-15888887"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57389857?target=_top&mouseover=N""></script>","https://www.jdoqocy.com/click-101606300-15888887","N/A","","","","Hotel","2612819","Active","English","No"
"Hotels.com APAC","","13461353","TH Autumn leaves sale","TH Autumn leaves sale","TH Autumn Seasonal Sale","Text Link","N/A","N/A","29-Aug-2024","<a href=""https://www.tkqlhce.com/click-101606300-13461353"" target=""_top"">TH Autumn leaves sale</a><img src=""https://www.awltovhc.com/image-101606300-13461353"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57389858?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101606300-13461353","N/A","","","","Hotel","2612819","Active","English","No"
"Hotels.com APAC","","14311239","KR- South East Asia Evergreen Store","KR- South East Asia Evergreen Store","","Text Link","N/A","$22.52 USD","29-Aug-2024","<a href=""https://www.anrdoezrs.net/click-101606300-14311239"" target=""_top"">KR- South East Asia Evergreen Store</a><img src=""https://www.ftjcfx.com/image-101606300-14311239"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.anrdoezrs.net/placeholder-57389859?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101606300-14311239","N/A","","","","Hotel","2612819","Active","English","No"
"Hotels.com APAC","","14311141","SG - Hong Kong, Macau, Taiwan","SG - Hong Kong, Macau, Taiwan","","Text Link","N/A","N/A","29-Aug-2024","<a href=""https://www.kqzyfj.com/click-101606300-14311141"" target=""_top"">SG - Hong Kong, Macau, Taiwan</a><img src=""https://www.awltovhc.com/image-101606300-14311141"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.tkqlhce.com/placeholder-57389860?target=_top&mouseover=N""></script>","https://www.kqzyfj.com/click-101606300-14311141","N/A","","","","Hotel","2612819","Active","English","No"
"Hotels.com APAC","","14308750","Japan Business Traveler","Japan Business Traveler","","Text Link","N/A","N/A","29-Aug-2024","<a href=""https://www.kqzyfj.com/click-101606300-14308750"" target=""_top"">Japan Business Traveler</a><img src=""https://www.awltovhc.com/image-101606300-14308750"" width=""1"" height=""1"" border=""0""/>","<script type=""text/javascript"" language=""javascript"" src=""https://www.dpbolvw.net/placeholder-57389861?target=_top&mouseover=N""></script>","https://www.tkqlhce.com/click-101606300-14308750","N/A","","","","Hotel","2612819","Active","English","No"
